Time Stamp, CONC1-INST (PPM)
12/11/2014 11:25:01,      0.684
12/11/2014 11:26:01,      0.684
12/11/2014 11:27:01,      0.677
12/11/2014 11:28:01,      0.685
12/11/2014 11:29:01,      0.682
12/11/2014 11:30:01,      0.670
12/11/2014 11:31:01,      0.662
12/11/2014 11:32:01,      0.671
12/11/2014 11:33:01,      0.682
12/11/2014 11:34:01,      0.682
12/11/2014 11:35:01,      0.666
12/11/2014 11:36:01,      0.662
12/11/2014 11:37:01,      0.655
12/11/2014 11:38:01,      0.652
12/11/2014 11:39:01,      0.661
12/11/2014 11:40:01,      0.674
12/11/2014 11:41:01,      0.669
12/11/2014 11:42:01,      0.677
12/11/2014 11:43:01,      0.679
12/11/2014 11:44:01,      0.669
12/11/2014 11:45:01,      0.674
12/11/2014 11:46:01,      0.683
12/11/2014 11:47:01,      0.685
12/11/2014 11:48:01,      0.663
12/11/2014 11:49:01,      0.669
12/11/2014 11:50:01,      0.670
12/11/2014 11:51:01,      0.664
12/11/2014 11:52:01,      0.656
12/11/2014 11:53:01,      0.658
12/11/2014 11:54:01,      0.675
12/11/2014 11:55:01,      0.686
12/11/2014 11:56:01,      0.677
12/11/2014 11:57:01,      0.682
12/11/2014 11:58:01,      0.672
12/11/2014 11:59:01,      0.673
12/11/2014 12:00:02,      0.676
12/11/2014 12:01:01,      0.665
12/11/2014 12:02:01,      0.654
12/11/2014 12:03:01,      0.650
12/11/2014 12:04:01,      0.671
12/11/2014 12:05:01,      0.676
12/11/2014 12:06:01,      0.666
12/11/2014 12:07:01,      0.654
12/11/2014 12:08:01,      0.648
12/11/2014 12:09:01,      0.667
12/11/2014 12:10:01,      0.660
